(Quest is part of chapter: 森林书 第二章 梦中的苗圃)

# 「兰那罗的世界」


## Talk 1

兰耶师: 金色的那菈…
兰拉迦: 他们明白了，万物都将无可避免地死去。这时，「无留陀」就诞生了。此乃「死」之名，知晓它存在的，终究会死去。
兰拉迦: 无留陀的力量就是令一切走向死。而高大、阴暗、扭曲的东西就是无留陀选中的化身，带来死的使徒。
派蒙: 难怪优丹看到愚人众会觉得害怕…毕竟，又高，又穿着黑色的衣服…
兰拉迦: 当然了，在老身的故事中，无留陀的化身形态是不定的。也许是走兽。也许是飞鸟。也许是那菈。也许是疫病…
兰拉迦: 但故事究竟是故事，那已经不是老身的记忆了。
旅行者: 关于「恒素果」…
兰罗摩: 恒素果是充满了梦想和力量的果实！它没有惟耶之实那么强大，但是也很厉害。
兰拉迦: 以恒素果的力量供养「觉王之树」，就能结出惟耶之实。那是树王亲自种下的伟大之树，也是兰那罗一族的原点。
旅行者: …之后再说吧。
派蒙: #嗯，旅行者说得也对。如果有什么不明白的，之后再问兰拉迦吧！
旅行者: …之后再说吧。
派蒙: #嗯，旅行者说得也对。如果有什么不明白的，之后再问兰拉迦吧！
旅行者: 情况明明很危急才对！
派蒙: 刚刚兰拉迦也说了，那菈的时间没有那么多，应该要尽快取得惟耶之实才对吧？
旅行者: 好耶，无忧节！
派蒙: 不对不对，完全不对啦！现在是过节的时候吗？刚刚兰拉迦也说了，那菈的时间没有那么多，应该要尽快取得惟耶之实才对吧？
旅行者: 有什么需要我们帮忙的吗？
兰拉迦: 不错，结出惟耶之实，需要那菈的帮助。
旅行者: 情况紧急，不能浪费时间了。
旅行者: 是兰拉娜派我们来的。
旅行者: 总之就是梦中的桓那兰那…

## Talk 17

兰伊舍: 看得见，抓不到，月亮瞧它不着，小苗没它长不高…这个太简单，只要是兰那罗都能猜到，唔…再想点别的。

## Talk 18

兰加惟: 嗯？兰罗摩带着那菈来了…看来我猜得没错。

## Talk 19

兰帕卡提: 「哥哥」们的「烹饪修行」…不知道顺不顺利…

## Talk 20

兰随尼: 杖跟树一样，性格大不相同，嗯…

## Talk 21

兰卑浮: 兰迦拉梨的修行…不能怠慢！
兰卑浮: 啊，是那菈。迷路？
